Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
840;1506;-26.0749;38.0463;14.6772;9.73165;3860.53;5.97457;0;0;0.1;0.01;0;5.73735;0;460;-1-1;-1
840;1;-32.5407;-28.3848;-84.2913;10.1579;4390.34;6.19549;0;0;0.1;0.01;0;7.60568;0;60;-1-1;-1
840;2;-34.7536;-14.0243;-93.9969;9.19933;3261.05;5.67912;0;0;0.1;0.01;0;3.70191;0;134;-1-1;-1
840;3;-25.9818;5.07429;-90.506;9.72591;3853.72;5.959;0;0;0.1;0.01;0;3.96888;0;90;-1-1;-1
840;1675;-25.7889;-25.8175;-0.698691;9.27847;3345.94;5.70922;0;0;0.1;0.01;0;6.93761;0;584;-1-1;-1
840;5;-17.0594;-37.3978;-84.6912;9.85527;4009.54;6.0384;0;0;0.1;0.01;0;5.50533;0;110;-1-1;-1
840;6;-18.3775;-23.412;-76.4432;9.6042;3710.84;5.89898;0;0;0.1;0.01;0;7.00944;0;100;-1-1;-1
840;7;-19.6711;-22.5652;-93.4587;9.56896;3670.14;5.86579;0;0;0.1;0.01;0;4.90233;0;50;-1-1;-1
840;1607;-68.3713;-64.3491;47.7688;9.50176;3593.36;5.85062;0;0;0.1;0.01;0;2.78421;0;522;-1-1;-1
840;1753;88.555;-30.9825;-16.3497;8.94638;2999.38;5.49022;0;0;0.1;0.01;0;6.67167;0;642;-1-1;-1
840;10;-8.85371;-60.2355;-79.3401;8.68816;2747.08;5.33485;0;0;0.1;0.01;0;4.20758;0;70;-1-1;-1
840;1724;-33.1346;76.6288;-2.10708;9.01338;3067.27;5.52917;0;0;0.1;0.01;0;6.80325;0;634;-1-1;-1
840;12;-10.6754;1.27785;-82.2783;9.78853;3928.63;5.99488;0;0;0.1;0.01;0;5.98447;0;120;-1-1;-1
840;1515;-53.8643;-46.1445;47.1425;9.7128;3838.15;5.96556;0;0;0.1;0.01;0;5.34773;0;464;-1-1;-1
840;1599;4.33538;17.1146;67.8063;9.54414;3641.66;5.85185;0;0;0.1;0.01;0;6.4713;0;518;-1-1;-1
840;15;5.00333;36.9508;-84.6585;10.0698;4277.16;6.13703;0;0;0.1;0.01;0;3.76222;0;68;-1-1;-1
840;16;1.25258;-39.2714;-94.4946;8.1728;2286.66;4.96715;0;0;0.1;0.01;0;1.84181;1;68;-1-1;-1
840;17;6.82656;-26.7454;-85.9674;10.2692;4536.3;6.23449;0;0;0.1;0.01;0;5.92636;0;86;-1-1;-1
840;18;9.34019;5.73883;-82.9498;9.45369;3539.1;5.81274;0;0;0.1;0.01;0;4.97912;0;70;-1-1;-1
840;1626;-25.9134;-25.0067;-32.6196;9.4495;3534.4;5.81958;0;0;0.1;0.01;0;7.41918;0;540;-1-1;-1
840;1593;-37.8084;-19.7361;-23.2021;9.55027;3648.67;5.86117;0;0;0.1;0.01;0;6.90529;0;518;-1-1;-1
840;1557;29.5186;78.7502;10.8541;9.65819;3773.78;5.91633;0;0;0.1;0.01;0;8.15783;0;492;-1-1;-1
840;22;44.9248;-42.4197;-74.0064;9.89395;4056.93;6.06442;0;0;0.1;0.01;0;6.05072;0;124;-1-1;-1
840;23;25.2335;-42.7727;-96.7328;8.17648;2289.75;4.96604;0;0;0.1;0.01;0;1.98101;1;108;-1-1;-1
840;24;27.3218;-9.89627;-91.8083;9.21763;3280.55;5.68432;0;0;0.1;0.01;0;4.44156;0;130;-1-1;-1
840;1637;-54.226;43.4952;51.9241;9.41946;3500.79;5.83179;0;0;0.1;0.01;0;5.69098;0;546;-1-1;-1
840;26;17.0025;24.9348;-86.8652;9.62476;3734.72;5.90655;0;0;0.1;0.01;0;3.49981;0;102;-1-1;-1
840;1632;25.8702;-21.7412;-65.2466;9.44853;3533.3;5.81281;0;0;0.1;0.01;0;5.22711;0;542;-1-1;-1
840;1671;-36.5808;-11.4884;39.9184;9.29224;3360.86;5.7139;0;0;0.1;0.01;0;6.71884;0;574;-1-1;-1
840;29;35.2715;-23.6018;-90.8261;9.17746;3237.85;5.6426;0;0;0.1;0.01;0;4.74401;0;48;-1-1;-1
840;1509;-22.1225;19.3877;80.4955;9.77295;3909.9;5.98997;0;0;0.1;0.01;0;7.02035;0;462;-1-1;-1
840;1616;-48.9382;4.12274;53.1771;9.49523;3585.95;5.83676;0;0;0.1;0.01;0;6.70409;0;536;-1-1;-1
840;1380;-0.201682;35.243;73.8954;10.0509;4253.14;6.13823;0;0;0.1;0.01;0;7.83151;0;346;-1-1;-1
840;33;-70.8598;-17.6559;-61.4755;9.9288;4099.95;6.07807;0;0;0.1;0.01;0;4.9466;0;40;-1-1;-1
840;1656;12.368;-16.7339;-71.7497;9.37654;3453.16;5.755;0;0;0.1;0.01;0;7.32467;0;564;-1-1;-1
840;35;-52.2725;-21.6604;-69.4615;11.2878;6024.39;6.66554;0;0;5.24896e-35;0.01;0;6.92742;102;0;-1-1;-1
840;36;-58.648;-9.92126;-81.5004;9.25951;3325.47;5.69819;0;0;0.1;0.01;0;3.74952;0;54;-1-1;-1
840;37;-72.4531;16.6482;-84.8387;9.0095;3063.31;5.53425;0;0;0.1;0.01;0;1.89332;0;92;-1-1;-1
840;38;-73.6744;43.7091;-76.6945;9.22006;3283.15;5.70173;0;0;0.1;0.01;0;1.29992;0;76;-1-1;-1
840;1298;17.6215;99.4572;-18.0904;8.16057;2276.41;4.96285;0;0;0.1;0.01;0;3.75233;1;206;-1-1;-1
840;1696;48.1753;-30.9161;-85.3995;9.19129;3252.5;5.6323;0;0;0.1;0.01;0;3.33047;0;604;-1-1;-1
840;41;-45.7861;-38.9829;-90.1384;9.94654;4121.97;6.08082;0;0;0.1;0.01;0;2.73382;0;72;-1-1;-1
840;1576;21.4929;-35.7945;-58.0181;9.58969;3694.05;5.87261;0;0;0.1;0.01;0;6.67184;0;516;-1-1;-1
840;43;-54.6606;3.86513;-72.9753;9.22359;3286.91;5.67248;0;0;0.1;0.01;0;6.31753;0;132;-1-1;-1
840;44;-49.512;16.9234;-81.1878;9.37002;3445.96;5.75551;0;0;0.1;0.01;0;3.95377;0;66;-1-1;-1
840;1655;-8.41292;-79.5435;-11.9261;9.37663;3453.25;5.77675;0;0;0.1;0.01;0;6.44874;0;558;-1-1;-1
840;46;-40.2637;52.3455;-86.4169;9.10537;3162.14;5.59005;0;0;0.1;0.01;0;0.988613;0;64;-1-1;-1
840;47;-28.2968;-53.6236;-69.6141;9.65607;3771.29;5.94189;0;0;0.1;0.01;0;5.87965;0;84;-1-1;-1
840;48;-32.7927;-44.7154;-82.3161;8.76096;2816.72;5.39507;0;0;0.1;0.01;0;5.40138;0;70;-1-1;-1
840;1546;73.7894;55.2057;19.2082;9.61774;3726.56;5.92483;0;0;0.1;0.01;0;4.03862;0;486;-1-1;-1
840;1658;-85.0263;-61.5534;-0.348015;9.35874;3433.53;5.75484;0;0;0.1;0.01;0;3.91851;0;562;-1-1;-1
840;51;-28.073;1.33079;-73.0957;11.1122;5747.7;6.5613;0;0;2.30852e-36;0.01;0;7.92902;102;80;-1-1;-1
840;52;-23.9679;20.2887;-66.3186;10.241;4499;6.23985;0;0;0.1;0.01;0;8.0388;0;88;-1-1;-1
840;1802;-3.18561;-98.1948;11.095;8.68595;2744.99;5.34867;0;0;0.1;0.01;0;4.67281;0;682;-1-1;-1
840;54;-11.3285;60.1165;-70.7029;10.1283;4352.13;6.16543;0;0;0.1;0.01;0;4.87998;0;84;-1-1;-1
840;1608;-72.5714;-61.2264;-24.8115;9.52839;3623.66;5.86404;0;0;0.1;0.01;0;5.54611;0;526;-1-1;-1
840;56;-14.0657;-47.4162;-70.6393;9.33446;3406.88;5.75711;0;0;0.1;0.01;0;7.1619;0;66;-1-1;-1
840;1635;49.8595;-15.6987;81.7775;9.43675;3520.11;5.8293;0;0;0.1;0.01;0;4.37839;0;540;-1-1;-1
840;1404;52.5602;-15.138;51.5301;9.99947;4188.12;6.1076;0;0;0.1;0.01;0;6.55961;0;380;-1-1;-1
840;1679;-48.0124;14.0137;3.54175;9.25565;3321.31;5.69079;0;0;0.1;0.01;0;7.71297;0;590;-1-1;-1
840;1885;-57.5355;-20.5889;-36.4552;8.17544;2288.87;4.95889;0;0;0.1;0.01;0;6.05297;1;830;-1-1;-1
840;61;-23.5668;31.6074;-79.7009;9.7464;3878.12;5.98605;0;0;0.1;0.01;0;4.4033;0;70;-1-1;-1
840;62;-4.70475;47.6696;-60.8344;10.0545;4257.7;6.14848;0;0;0.1;0.01;0;7.70075;0;88;-1-1;-1
840;63;-0.826671;-56.5412;-66.5214;9.73713;3867.06;5.96424;0;0;0.1;0.01;0;6.60672;0;56;-1-1;-1
840;64;5.94007;-41.3892;-61.5263;9.53058;3626.15;5.8486;0;0;0.1;0.01;0;7.53467;0;104;-1-1;-1
840;1470;71.9737;35.2282;-42.6984;9.83024;3979.07;6.01043;0;0;0.1;0.01;0;6.84556;0;432;-1-1;-1
840;1741;-69.4101;38.5629;-14.555;8.92956;2982.49;5.50623;0;0;0.1;0.01;0;7.20836;0;646;-1-1;-1
840;67;-14.5699;7.32188;-67.4564;8.94299;2995.96;5.50404;0;0;0.1;0.01;0;6.61602;0;86;-1-1;-1
840;68;16.385;34.0018;-72.2681;9.4586;3544.62;5.83745;0;0;0.1;0.01;0;7.2089;0;126;-1-1;-1
840;1371;-28.7228;-27.7745;-48.6101;10.0645;4270.42;6.1557;0;0;0.1;0.01;0;6.42076;0;342;-1-1;-1
840;1796;-52.9174;0.528226;-0.186963;8.73312;2789.95;5.35796;0;0;0.1;0.01;0;6.46879;0;682;-1-1;-1
840;1694;14.6209;58.1534;-15.8734;9.20212;3264.01;5.65132;0;0;0.1;0.01;0;7.02245;0;594;-1-1;-1
840;1733;-13.1656;81.5696;3.10777;8.96796;3021.13;5.56226;0;0;0.1;0.01;0;8.02279;0;638;-1-1;-1
840;73;9.17787;-25.2841;-58.8763;9.42031;3501.74;5.50143;0;0;1.5864e-37;0.01;0;6.50867;102;82;-1-1;-1
840;74;1.7418;-5.92538;-73.3672;9.38407;3461.49;5.76797;0;0;0.1;0.01;0;7.49464;0;52;-1-1;-1
840;75;8.81085;20.1668;-72.9424;9.91553;4083.54;6.04865;0;0;0.1;0.01;0;7.32783;0;92;-1-1;-1
840;1672;-69.3508;48.9281;22.2371;9.32151;3392.71;5.74316;0;0;0.1;0.01;0;4.71237;0;582;-1-1;-1
840;1740;-40.1385;45.5477;-12.257;8.92733;2980.26;5.50341;0;0;0.1;0.01;0;6.41745;0;644;-1-1;-1
840;1417;-15.3979;82.7403;-24.3948;9.98053;4164.37;6.09343;0;0;0.1;0.01;0;6.05961;0;394;-1-1;-1
840;79;22.4861;-52.3044;-68.2614;2.1922;44.1294;2.12735;0;0;1.823e-17;0.01;0;5.24369;100;84;-1-1;-1
840;1648;-15.5234;78.0913;30.8159;9.43012;3512.7;5.79929;0;0;0.1;0.01;0;5.53586;0;548;-1-1;-1
840;81;34.1462;-29.7472;-76.2342;9.46682;3553.87;5.8238;0;0;0.1;0.01;0;7.77964;0;60;-1-1;-1
840;82;21.6983;-4.87859;-76.8837;9.9378;4111.11;6.05983;0;0;0.1;0.01;0;6.5317;0;82;-1-1;-1
840;83;24.072;12.4318;-77.7153;10.0656;4271.71;6.14824;0;0;0.1;0.01;0;6.50201;0;52;-1-1;-1
840;1687;-10.3171;1.82084;-41.3602;9.19278;3254.09;5.66567;0;0;0.1;0.01;0;7.31806;0;590;-1-1;-1
840;85;37.277;43.4979;-76.2363;9.45243;3537.69;5.80012;0;0;0.1;0.01;0;3.20645;0;72;-1-1;-1
840;86;54.8864;-56.8678;-68.92;10.0412;4240.72;6.12209;0;0;0.1;0.01;0;3.12075;0;110;-1-1;-1
840;1554;-14.3946;7.11966;73.6677;9.64269;3755.63;5.91262;0;0;0.1;0.01;0;7.6449;0;500;-1-1;-1
840;88;45.2946;-8.81487;-89.5959;10.2423;4500.66;6.23416;0;0;0.1;0.01;0;4.07731;0;86;-1-1;-1
840;1670;17.6071;32.789;0.626689;9.59445;3699.55;5.84944;0;0;3.93593e-09;0.01;0;7.59235;101;568;-1-1;-1
840;1856;-11.9921;-70.3677;-25.1841;8.20038;2309.88;4.97362;0;0;0.1;0.01;0;5.21511;1;800;-1-1;-1
840;1522;20.448;-47.3112;36.5404;9.70227;3825.68;5.96861;0;0;0.1;0.01;0;6.57535;0;474;-1-1;-1
840;1677;-68.4902;-3.71771;-70.857;9.25253;3317.95;5.70718;0;0;0.1;0.01;0;4.79783;0;586;-1-1;-1
840;93;61.6235;-20.149;-58.0913;8.16685;2281.66;4.95529;0;0;0.1;0.01;0;5.45743;1;134;-1-1;-1
840;94;58.1675;-10.4559;-74.1499;10.9267;5464.64;6.50466;0;0;1.28148e-34;0.01;0;3.97802;102;140;-1-1;-1
840;1678;78.0351;5.8184;-14.4163;9.25319;3318.66;5.69212;0;0;0.1;0.01;0;8.19541;0;592;-1-1;-1
840;96;-85.9674;-15.7967;-52.8718;10.0568;4260.56;6.15128;0;0;0.1;0.01;0;4.43046;0;58;-1-1;-1
840;1791;27.56;-24.2555;60.826;8.74613;2802.44;5.3809;0;0;0.1;0.01;0;6.58129;0;676;-1-1;-1
840;1353;-26.1255;64.7237;-65.162;10.127;4350.48;6.16173;0;0;0.1;0.01;0;4.57521;0;320;-1-1;-1
840;1426;51.0775;-70.1866;-14.8788;9.92562;4096.01;6.07256;0;0;0.1;0.01;0;6.06868;0;398;-1-1;-1
840;1297;28.0443;78.7227;-3.7748;8.15522;2271.93;4.95764;0;0;0.1;0.01;0;6.06081;1;204;-1-1;-1
840;1666;85.8697;36.7326;-51.9683;9.34559;3419.07;5.73768;0;0;0.1;0.01;0;2.63324;0;572;-1-1;-1
840;102;-70.9513;31.2205;-66.4545;9.48365;3572.85;5.83782;0;0;0.1;0.01;0;3.80215;0;130;-1-1;-1
840;103;-57.4499;54.2447;-59.4769;9.08766;3143.73;5.60465;0;0;0.1;0.01;0;3.89195;0;44;-1-1;-1
840;104;-46.6424;-65.1567;-48.5358;11.1015;5731.08;6.47785;0;0;3.06855e-40;0.01;0;6.03862;102;0;-1-1;-1
840;1434;28.8383;20.5915;3.15486;9.93263;4104.7;6.07394;0;0;0.1;0.01;0;7.50965;0;402;-1-1;-1
840;1676;-18.9066;-0.0422437;99.5054;9.26803;3334.65;5.71279;0;0;0.1;0.01;0;4.23758;0;586;-1-1;-1
840;107;-40.9884;-16.6962;-55.5014;10.1307;4355.13;6.17647;0;0;0.1;0.01;0;7.45324;0;54;-1-1;-1
840;108;-47.0883;16.0015;-45.1875;11.1767;5848.33;6.53829;0;0;2.85781e-39;0.01;0;7.71891;102;0;-1-1;-1
840;109;-46.6468;29.8191;-56.1484;9.89728;4061.02;5.88453;0;0;8.2015e-35;0.01;0;8.32736;102;114;-1-1;-1
840;110;-45.0389;44.1886;-65.1396;10.1085;4326.66;6.16384;0;0;0.1;0.01;0;4.91302;0;90;-1-1;-1
840;111;-38.9663;63.2217;-57.2498;8.19204;2302.84;4.96933;0;0;0.1;0.01;0;5.38092;1;88;-1-1;-1
840;1624;32.6783;2.31119;57.8971;9.48409;3573.35;5.83079;0;0;0.1;0.01;0;6.42198;0;530;-1-1;-1
840;1784;-83.9181;-45.9787;56.229;8.78128;2836.37;5.38938;0;0;0.1;0.01;0;1.99118;0;664;-1-1;-1
840;114;-43.6881;-33.1306;-56.1086;10.0913;4304.51;6.16714;0;0;0.1;0.01;0;6.33865;0;50;-1-1;-1
840;1481;-19.188;80.7478;-53.3773;2.20882;45.1408;2.06521;0;0;7.02193e-14;0.01;0;3.63111;100;438;-1-1;-1
840;116;-32.5263;-0.961912;-54.9093;11.0174;5601.72;6.52491;0;0;3.35934e-35;0.01;0;6.70506;102;132;-1-1;-1
840;117;-48.3847;5.00658;-57.6929;8.76237;2818.08;5.38425;0;0;0.1;0.01;0;6.17458;0;78;-1-1;-1
840;118;-30.5651;38.0064;-55.8462;10.4766;4816.72;6.18829;0;0;1.5864e-37;0.01;0;7.72478;102;74;-1-1;-1
840;1424;-68.9148;-23.3159;-77.6416;9.90783;4074.03;6.06099;0;0;0.1;0.01;0;1.92461;0;398;-1-1;-1
840;120;-44.3098;77.8534;-59.3369;10.1366;4362.77;6.02757;0;0;7.63824e-34;0.01;0;3.6964;102;128;-1-1;-1
840;121;-8.0277;-72.5245;-68.6474;9.95824;4136.54;6.09801;0;0;0.1;0.01;0;3.12171;0;92;-1-1;-1
840;122;-31.0972;-58.2449;-53.8348;9.86806;4025.16;6.04387;0;0;0.1;0.01;0;6.79987;0;82;-1-1;-1
840;123;-8.92552;-46.5522;-54.8686;10.239;4496.39;6.22505;0;0;0.1;0.01;0;8.12572;0;22;-1-1;-1
840;1669;-15.4473;66.2692;-18.9312;9.29866;3367.83;5.73208;0;0;0.1;0.01;0;6.83831;0;572;-1-1;-1
840;1814;-33.612;21.5906;-53.5232;8.55497;2622.67;5.24019;0;0;0.1;0.01;0;6.60057;0;710;-1-1;-1
840;126;-4.67633;0.937833;-57.1067;9.86188;4017.61;6.05078;0;0;0.1;0.01;0;7.58525;0;56;-1-1;-1
840;1586;55.7886;-58.8858;-32.0901;9.55433;3653.34;5.87665;0;0;0.1;0.01;0;5.95047;0;516;-1-1;-1
840;1661;46.0797;-0.384189;-45.8961;9.35199;3426.11;5.73361;0;0;0.1;0.01;0;7.56808;0;566;-1-1;-1
840;1496;-99.5721;-8.94978;0.647563;9.78524;3924.67;6.00283;0;0;0.1;0.01;0;4.85787;0;458;-1-1;-1
840;130;-37.1769;89.5266;-48.9782;9.80363;3946.84;6.00204;0;0;0.1;0.01;0;2.72658;0;54;-1-1;-1
840;1529;21.9805;5.04811;-35.5999;9.71059;3835.54;5.9534;0;0;0.1;0.01;0;8.13786;0;480;-1-1;-1
840;132;-4.33427;-84.789;-55.8184;9.73521;3864.78;5.95824;0;0;0.1;0.01;0;2.573;0;70;-1-1;-1
840;1619;-96.448;42.6633;12.9656;9.48614;3575.67;5.82242;0;0;0.1;0.01;0;3.77242;0;538;-1-1;-1
840;1341;80.2115;18.7666;21.1542;10.1849;4425.42;6.20543;0;0;0.1;0.01;0;7.75141;0;290;-1-1;-1
840;135;-6.48435;-16.8313;-56.6064;9.43962;3523.33;5.79708;0;0;0.1;0.01;0;7.20734;0;106;-1-1;-1
840;1575;75.3343;-26.331;11.7161;9.57697;3679.37;5.88392;0;0;0.1;0.01;0;6.44419;0;514;-1-1;-1
840;1379;-83.962;-4.80891;-66.0657;10.0433;4243.44;6.12854;0;0;0.1;0.01;0;3.67584;0;346;-1-1;-1
840;138;-7.17928;32.5468;-40.1446;8.68499;2744.08;5.34765;0;0;0.1;0.01;0;6.6908;0;64;-1-1;-1
840;1378;-19.8562;-76.2005;29.1641;10.0357;4233.84;6.15392;0;0;0.1;0.01;0;6.99234;0;342;-1-1;-1
840;140;-11.2072;74.4177;-58.4359;10.7044;5137.76;6.32735;0;0;7.56455e-37;0.01;0;4.84107;102;0;-1-1;-1
840;1475;-98.6217;-24.9806;18.1436;9.84678;3999.19;6.02465;0;0;0.1;0.01;0;3.30341;0;438;-1-1;-1
840;1377;15.1357;-9.41818;100;11.1181;5756.8;6.72084;0;0;6.95418e-17;0.01;0;2.91554;101;350;-1-1;-1
840;1315;-24.7083;-42.2696;-56.3855;10.2337;4489.39;6.23565;0;0;0.1;0.01;0;7.7909;0;230;-1-1;-1
840;1305;-28.161;67.8071;30.6365;10.2572;4520.4;6.24162;0;0;0.1;0.01;0;7.0807;0;216;-1-1;-1
840;145;7.3461;-20.692;-43.6933;9.87814;4037.51;6.05099;0;0;0.1;0.01;0;7.18828;0;60;-1-1;-1
840;146;18.5399;6.60761;-51.6826;9.58845;3692.62;5.88469;0;0;0.1;0.01;0;7.69113;0;106;-1-1;-1
840;147;-5.12797;25.458;-57.7704;8.1982;2308.05;4.97439;0;0;0.1;0.01;0;6.40517;1;58;-1-1;-1
840;148;15.7425;40.2419;-51.0823;8.76061;2816.38;5.399;0;0;0.1;0.01;0;6.04288;0;80;-1-1;-1
840;149;3.89249;54.4107;-74.414;9.58177;3684.9;5.87856;0;0;0.1;0.01;0;4.90141;0;72;-1-1;-1
840;150;7.35436;78.396;-57.0076;9.84258;3994.07;6.03197;0;0;0.1;0.01;0;3.13345;0;112;-1-1;-1
840;1357;-46.911;45.7272;-49.685;10.1007;4316.6;6.1671;0;0;0.1;0.01;0;5.86069;0;318;-1-1;-1
840;152;19.7292;-51.5606;-58.3411;9.58958;3693.92;5.92312;0;0;0.1;0.01;0;6.97401;0;122;-1-1;-1
840;1615;-17.8217;-10.1126;-32.189;9.53631;3632.7;5.86004;0;0;0.1;0.01;0;7.12708;0;532;-1-1;-1
840;1659;-75.7221;-9.35394;-41.2977;9.36;3434.91;5.75393;0;0;0.1;0.01;0;5.8188;0;570;-1-1;-1
840;155;29.7727;2.88332;-64.33;9.86855;4025.76;6.05812;0;0;0.1;0.01;0;7.03142;0;62;-1-1;-1
840;156;23.8573;20.6433;-60.7493;11.5582;6467.88;6.73919;0;0;4.46532e-39;0.01;0;7.7786;102;0;-1-1;-1
840;1667;-0.42801;56.2366;8.85979;9.33004;3402.04;5.71678;0;0;0.1;0.01;0;6.43092;0;570;-1-1;-1
840;158;28.7607;65.1364;-60.4798;8.70289;2761.08;5.34756;0;0;0.1;0.01;0;1.86576;0;56;-1-1;-1
840;1561;30.2821;28.4052;-77.3194;9.64085;3753.48;5.91207;0;0;0.1;0.01;0;5.63824;0;504;-1-1;-1
840;160;34.0672;-61.7874;-52.8811;10.6388;5043.92;6.28292;0;0;1.0153e-37;0.01;0;6.59123;102;0;-1-1;-1
840;161;44.9953;-48.3631;-58.5698;9.40514;3484.86;5.75797;0;0;0.1;0.01;0;6.29203;0;42;-1-1;-1
840;1402;38.889;-65.1384;34.2717;9.99129;4177.86;6.11107;0;0;0.1;0.01;0;6.30295;0;380;-1-1;-1
840;163;38.5342;-11.4304;-59.5171;11.1669;5832.86;6.66242;0;0;2.71365e-32;0.01;0;7.34395;102;54;-1-1;-1
840;164;39.0083;16.0139;-70.1963;9.78151;3920.19;5.9938;0;0;0.1;0.01;0;6.1591;0;76;-1-1;-1
840;165;33.3646;32.927;-49.2791;10.1215;4343.36;6.19521;0;0;0.1;0.01;0;6.92465;0;40;-1-1;-1
840;166;43.2631;47.7136;-57.6607;10.9301;5469.64;6.45171;0;0;9.45569e-37;0.01;0;6.36804;102;94;-1-1;-1
840;1553;-17.2269;15.999;-81.1991;9.62949;3740.24;5.91817;0;0;0.1;0.01;0;5.46149;0;492;-1-1;-1
840;168;60.9415;-47.3078;-56.1446;9.75475;3888.1;5.95587;0;0;0.1;0.01;0;4.97556;0;100;-1-1;-1
840;1415;45.1105;39.6913;44.7214;10.5588;4930.91;6.38737;0;0;2.27875e-17;0.01;0;6.73495;101;390;-1-1;-1
840;1605;-60.4428;9.89201;11.9944;9.52103;3615.26;5.84884;0;0;0.1;0.01;0;6.86881;0;524;-1-1;-1
840;171;53.5191;2.40336;-59.7181;10.2437;4502.6;6.23227;0;0;0.1;0.01;0;7.0118;0;130;-1-1;-1
