simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0742483	18999	274.461
40	1228	91	0	109.888	3.73491e-06	5.52098
80	1240	12	0	94.1135	7.14068e-16	0.0381193
120	1261	21	0	107.886	1.33701e-25	21.8782
160	1282	21	0	93.9461	2.5081e-35	0.151242
200	1307	25	0	108.544	5.59444e-45	86.0151
240	1339	32	0	94.5288	1.55468e-54	0.413125
280	1358	19	0	107.757	5.1828e-64	340.777
320	1385	27	0	95.0319	2.10367e-73	1.46985
360	1408	24	1	93.7747	9.7953e-83	0.0984474
400	1442	34	0	107.649	5.10824e-92	5.61621
440	1479	43	6	94.3093	2.76398e-101	0.114675
480	1514	47	12	108.915	1.53057e-110	21.953
520	1560	59	13	94.292	8.35087e-120	0.173991
560	1563	37	34	108.501	4.53118e-129	86.5112
600	1528	30	65	95.8424	2.42652e-138	0.43124
640	1467	28	89	107.986	1.26444e-147	341.71
680	1422	31	76	94.2458	6.44483e-157	1.47016
720	1348	6	80	93.8722	3.18955e-166	0.0911565
760	1291	8	65	107.361	1.57252e-175	5.59957
800	1263	14	42	93.4147	7.62141e-185	0.111648
840	1264	22	21	106.74	3.7068e-194	21.9494
880	1268	27	23	93.4263	1.7998e-203	0.177487
920	1268	17	17	108.337	8.82436e-213	86.5301
960	1286	35	17	93.7715	4.35703e-222	0.446936
1000	1304	25	7	107.335	2.13691e-231	341.728
1040	1333	32	3	96.6754	1.03969e-240	1.49889
1080	1371	43	5	97.0049	4.91145e-250	0.117495
1120	1423	58	6	110.052	2.26127e-259	5.63634
1160	1487	66	2	97.1191	9.90009e-269	0.133111
1200	1530	47	4	110.393	4.15746e-278	21.9643
1240	1552	31	9	97.6911	1.66473e-287	0.192866
1280	1588	38	2	110.679	6.36721e-297	86.5224
1320	1622	40	6	97.055	0	0.445177
1360	1623	6	5	109.338	0	341.724
1400	1636	20	7	95.9822	0	1.4894
1440	1645	11	2	95.9409	0	0.123998
1440.02	1645	0	0	0.271751	0	0.123987
